gene,R_E60_1,R_E60_2,R_E60_3,R_E60_4,R_D1_1,R_D1_2,R_D1_3,R_D7_1,R_D7_2,R_D7_3,R_D28_1,R_D28_2,R_D28_3,R_Y1
DMD,4.66426185,3.691507107,3.322652213,2.939467138,3.52690827,2.820429978,1.567597861,1.906471022,1.560112934,1.304790559,8.450265706,5.24811791,0.716146126,0.380616254
TMEM126A,17.07822593,13.86590731,18.6152839,12.76777616,24.71712936,28.67324218,36.71681057,26.86335021,36.97220384,31.49502624,20.8657993,25.28178225,43.68333237,50.37645677
LOC105606892,0.092324,0.271445,0,0.209502,0.118466,0.185538,0,0.880023,1.107856,0,0.333895,0.041608,0.182924,0
ARMC10,6.275506,4.934352,6.313495,3.926619,5.315867,4.7207,3.910011,5.558298,4.940048,4.951087,8.902961,8.329323,3.682119,5.609258
UBQLN4,17.4142243,17.20824774,18.44702482,13.73237688,15.71444889,24.95255727,15.17622493,10.18226475,13.1041484,11.61029738,10.18213068,10.58024296,10.49866453,11.23387294
TUB,4.641511367,5.248416248,5.383106531,4.048480334,4.249696338,5.754010445,4.424214151,1.279195208,2.713289785,1.676725217,2.233861049,2.662984144,1.329066202,0
ROR2,0.661036,0.397368,0.270661,0.361435,0.0144,0.134083,0.164169,0.248339,0.404631,1.230206,9.830317,8.075872,3.454542,4.661267
PCDH7,1.905109,1.078747,1.553431,0.962217,1.069316,1.578377,1.89998,4.089462,3.5785,4.109688,6.055317,4.816427,4.559777,2.293459
SELPLG,0,0,0.03432,0,0.161299,0,0.098979,9.825097,4.509607,8.606427,2.433956,2.49125,0.274329,0.185708
GALNT11,5.167368028,6.489937856,6.635683594,3.957177045,6.550931075,6.724772156,5.560752008,4.504108045,6.645531801,4.611497546,9.012366345,6.880800236,5.319559521,5.264233707
KMT5B,8.893753293,5.879642915,7.2190302,6.45281221,6.055811029,5.675821891,6.09973836,4.621375188,3.886810941,3.317703884,6.415448465,4.829530479,2.539348297,2.677600533
PARL,29.631567,31.282625,32.145077,30.053724,39.56847,36.642345,41.253696,33.605473,40.617386,39.420341,24.095894,29.070665,41.675987,50.059792
PPP2R1B,10.92569925,8.612011719,9.109773303,8.514777147,11.98192697,12.49509962,10.5055608,17.89459864,18.40052239,18.47550049,14.08605699,16.40663082,16.00007363,13.7121298
LOC101111337,1.084229995,1.436513572,1.791633018,2.189228204,6.794654266,1.307947146,1.166203611,2.408667717,2.561232533,2.07078012,5.581056366,1.843485953,3.312924379,0.366954678
SNX18,7.079834,5.590686,5.146227,6.972861,5.119226,5.503875,5.189249,8.437087,5.674168,7.414727,9.388919,12.698348,7.789225,5.358477
UBP1,7.213562423,6.523007794,11.26769807,5.373380923,8.648785591,12.09646208,10.46022246,8.046808705,12.97758205,12.9243201,12.90461618,8.743571192,8.794258784,5.289191169
